x,y
65,95
137,203
191,289
229,346
252,383
263,405
266,418
265,422
262,424
254,423
245,418
237,413
229,406
222,396
217,385
215,373
216,361
217,348
221,335
228,324
237,314
250,303
263,293
278,287
291,279
306,269
319,261
332,251
345,240
354,227
363,215
371,200
376,186
380,172
382,160
385,148
383,136
378,124
375,116
366,108
351,102
334,98
316,93
301,92
288,94
273,96
257,102
243,108
228,113
215,119
202,127
191,135
182,142
177,150
169,158
165,170
163,179
160,188
159,193
164,200
170,207
178,212
189,220
202,225
215,228
226,230
240,231
254,231
267,232
280,232
292,232
301,231
309,232
318,233
326,234
334,236
340,238
349,240
356,245
365,251
372,258
377,265
378,272
381,278
382,284
383,289
381,294
377,297
374,299
367,300
355,300
343,303
330,302
314,302
298,303
283,304
270,304
256,305
245,304
237,306
228,306
221,305
210,306
201,308
189,309
178,310
168,311
159,312
150,313
140,313
133,313
125,315
120,316
115,317
107,319
103,322
